run,final_balance,total_return,win_rate,max_drawdown,net_profit
0,2829.986939430237,28199.869394302368,70.73170731707317,1334.911584854126,2819.986939430237
1,1426.4429903030396,14164.429903030396,65.85365853658537,986.3961935043335,1416.4429903030396
2,525.5351161956787,5155.351161956787,58.536585365853654,1571.6279745101929,515.5351161956787
3,845.9187245368958,8359.187245368958,65.85365853658537,1268.5940265655518,835.9187245368958
4,2183.4079122543335,21734.079122543335,65.85365853658537,692.0013427734375,2173.4079122543335
5,308.9630103111267,2989.630103111267,56.09756097560976,920.5157160758972,298.9630103111267
6,179.9228882789612,1699.2288827896123,51.21951219512195,890.7202482223511,169.9228882789612
7,3688.512930870056,36785.12930870056,68.29268292682927,817.2910213470459,3678.512930870056
8,394.52476263046265,3845.2476263046265,60.97560975609756,983.3900332450867,384.52476263046265
9,1471.9420766830444,14619.420766830444,68.29268292682927,1787.7987623214722,1461.9420766830444
10,2924.01207447052,29140.1207447052,63.41463414634146,1856.5105199813843,2914.01207447052
11,4470.790753364563,44607.90753364563,68.29268292682927,640.8214569091797,4460.790753364563
12,-1039.5452880859375,-10495.452880859375,51.21951219512195,1519.9458599090576,-1049.5452880859375
13,-1395.07972240448,-14050.7972240448,56.09756097560976,2133.6594820022583,-1405.07972240448
14,2300.2477979660034,22902.477979660034,63.41463414634146,662.8882884979248,2290.2477979660034
15,335.88762044906616,3258.8762044906616,56.09756097560976,1085.99853515625,325.88762044906616
16,-272.40305185317993,-2824.0305185317993,58.536585365853654,1805.7705163955688,-282.40305185317993
17,2749.3534779548645,27393.534779548645,60.97560975609756,692.0013427734375,2739.3534779548645
18,245.16958951950073,2351.6958951950073,58.536585365853654,1007.0503354072571,235.16958951950073
19,1138.408670425415,11284.08670425415,68.29268292682927,692.0013427734375,1128.408670425415
20,-414.52770471572876,-4245.277047157288,53.65853658536586,1105.4291725158691,-424.52770471572876
21,3177.326331138611,31673.26331138611,60.97560975609756,1291.0430431365967,3167.326331138611
22,5299.867162704468,52898.67162704468,63.41463414634146,424.3420362472534,5289.867162704468
23,1433.172116279602,14231.72116279602,73.17073170731707,288.1239652633667,1423.172116279602
24,1523.1101608276367,15131.101608276367,53.65853658536586,487.8297448158264,1513.1101608276367
25,-458.7995910644531,-4687.995910644531,56.09756097560976,2023.3114957809448,-468.7995910644531
26,3128.685305118561,31186.853051185608,75.60975609756098,221.51434421539307,3118.685305118561
27,-50.35411357879639,-603.5411357879639,53.65853658536586,1561.1313581466675,-60.35411357879639
28,3059.5896339416504,30495.896339416504,65.85365853658537,1248.5909461975098,3049.5896339416504
29,417.0115685462953,4070.115685462953,58.536585365853654,1258.427381515503,407.0115685462953
30,-400.4786515235901,-4104.786515235901,51.21951219512195,972.8723764419556,-410.4786515235901
31,3282.4780440330505,32724.780440330505,53.65853658536586,866.6921854019165,3272.4780440330505
32,2397.671411037445,23876.71411037445,75.60975609756098,697.8838443756104,2387.671411037445
33,793.9222550392151,7839.222550392151,51.21951219512195,1137.4465227127075,783.9222550392151
34,1823.1078481674194,18131.078481674194,63.41463414634146,1373.3757734298706,1813.1078481674194
35,828.56769323349,8185.6769323349,53.65853658536586,1090.0039672851562,818.56769323349
36,2857.416937351227,28474.169373512268,73.17073170731707,484.29369926452637,2847.416937351227
37,5108.883152008057,50988.83152008057,85.36585365853658,412.0025634765625,5098.883152008057
38,4283.681819438934,42736.81819438934,82.92682926829268,692.0013427734375,4273.681819438934
39,-299.0529441833495,-3090.529441833495,46.34146341463415,1160.9992980957031,-309.0529441833495
40,2004.7085976600647,19947.085976600647,63.41463414634146,450.8603811264038,1994.7085976600647
41,-443.6595940589905,-4536.595940589905,46.34146341463415,1357.5149774551392,-453.6595940589905
42,1524.6279335021973,15146.279335021973,68.29268292682927,692.0013427734375,1514.6279335021973
43,709.0032792091371,6990.032792091371,56.09756097560976,907.5919389724731,699.0032792091371
44,916.0475826263428,9060.475826263428,65.85365853658537,1595.2576398849487,906.0475826263428
45,-365.3257989883423,-3753.257989883423,46.34146341463415,2419.3272590637207,-375.3257989883423
46,653.2461142539978,6432.461142539978,68.29268292682927,1208.1474661827087,643.2461142539978
47,-392.45020389556885,-4024.5020389556885,60.97560975609756,1083.5793018341064,-402.45020389556885
48,-168.4592866897583,-1784.592866897583,51.21951219512195,1592.9428339004517,-178.4592866897583
49,4390.855083465576,43808.55083465576,70.73170731707317,285.4996919631958,4380.855083465576
50,3860.5488634109497,38505.4886341095,63.41463414634146,696.3949203491211,3850.5488634109497
51,224.5649790763855,2145.649790763855,48.78048780487805,945.9991455078125,214.5649790763855
52,1473.9593362808228,14639.593362808228,58.536585365853654,1126.4286041259766,1463.9593362808228
53,1245.2213263511658,12352.213263511658,65.85365853658537,820.6930160522461,1235.2213263511658
54,3323.9476776123047,33139.47677612305,68.29268292682927,963.3241891860962,3313.9476776123047
55,3064.392635822296,30543.92635822296,60.97560975609756,692.0013427734375,3054.392635822296
56,2957.209358215332,29472.09358215332,56.09756097560976,952.8467059135437,2947.209358215332
57,2787.6949405670166,27776.949405670166,56.09756097560976,412.0025634765625,2777.6949405670166
58,1644.3556642532349,16343.556642532349,63.41463414634146,1497.4653720855713,1634.3556642532349
59,2835.386345386505,28253.86345386505,60.97560975609756,1051.8033504486084,2825.386345386505
60,1637.050518989563,16270.50518989563,56.09756097560976,746.0820078849792,1627.050518989563
61,905.0344324111938,8950.344324111938,51.21951219512195,615.4674887657166,895.0344324111938
62,2352.040002346039,23420.40002346039,56.09756097560976,692.0013427734375,2342.040002346039
