date,daily_pnl,num_trades,avg_trade_pnl,num_symbols,cumulative_pnl,cumulative_return_pct,winning_day,daily_return_pct
2019-04-02,455.99,1,455.99,1,455.99,4559.900000000001,True,4559.900000000001
2019-04-24,3.46,1,3.46,1,459.45,4594.5,True,34.599999999999994
2019-05-01,-282.01,1,-282.01,1,177.44,1774.4,False,-2820.1
2019-05-17,3.37,1,3.37,1,180.81,1808.1,True,33.7
2019-06-13,3.1,1,3.1,1,183.91,1839.1,True,31.0
2019-06-28,1.32,1,1.32,1,185.23,1852.3,True,13.200000000000001
2019-07-01,-1.71,1,-1.71,1,183.51999999999998,1835.1999999999996,False,-17.099999999999998
2019-07-02,4.99,1,4.99,1,188.51,1885.1,True,49.9
2019-07-12,-1.07,1,-1.07,1,187.44,1874.4,False,-10.700000000000001
2019-07-18,264.0,1,264.0,1,451.44,4514.4,True,2640.0
2019-08-15,3.38,1,3.38,1,454.82,4548.2,True,33.8
2019-08-27,3.93,1,3.93,1,458.75,4587.5,True,39.300000000000004
2019-09-02,2.73,1,2.73,1,461.48,4614.8,True,27.3
2019-09-03,9.26,1,9.26,1,470.74,4707.4,True,92.6
2019-09-04,267.0,1,267.0,1,737.74,7377.4,True,2670.0
2019-09-16,-2.51,1,-2.51,1,735.23,7352.299999999999,False,-25.1
2019-09-23,2.95,1,2.95,1,738.1800000000001,7381.800000000001,True,29.500000000000004
2019-09-27,2.76,1,2.76,1,740.94,7409.400000000001,True,27.599999999999998
2019-11-12,6.2,1,6.2,1,747.1400000000001,7471.4000000000015,True,62.0
2019-11-15,2.34,1,2.34,1,749.4800000000001,7494.800000000001,True,23.4
2019-11-20,-254.0,1,-254.0,1,495.48000000000013,4954.800000000002,False,-2540.0
2019-11-26,261.99,1,261.99,1,757.4700000000001,7574.700000000002,True,2619.9
2019-12-30,-8.85,1,-8.85,1,748.6200000000001,7486.200000000001,False,-88.5
2019-12-31,2.11,1,2.11,1,750.7300000000001,7507.300000000001,True,21.099999999999998
2020-01-01,14.96,1,14.96,1,765.6900000000002,7656.9000000000015,True,149.6
2020-01-09,-0.86,1,-0.86,1,764.8300000000002,7648.300000000002,False,-8.6
2020-01-10,472.51,2,236.26,2,1237.3400000000001,12373.400000000001,True,4725.099999999999
2020-01-20,-4.5,1,-4.5,1,1232.8400000000001,12328.400000000001,False,-45.0
2020-04-01,527.0,1,527.0,1,1759.8400000000001,17598.4,True,5270.0
2020-04-06,-692.0,1,-692.0,1,1067.8400000000001,10678.400000000001,False,-6920.0
2020-04-08,-9.82,1,-9.82,1,1058.0200000000002,10580.200000000003,False,-98.2
2020-04-15,-5.8,1,-5.8,1,1052.2200000000003,10522.200000000003,False,-57.99999999999999
2020-07-08,-219.0,1,-219.0,1,833.2200000000003,8332.200000000003,False,-2190.0
2020-07-13,372.99,1,372.99,1,1206.2100000000003,12062.100000000002,True,3729.9
2020-07-16,359.0,1,359.0,1,1565.2100000000003,15652.100000000002,True,3590.0
2020-07-20,188.0,1,188.0,1,1753.2100000000003,17532.100000000002,True,1880.0
2020-08-21,414.0,1,414.0,1,2167.21,21672.1,True,4140.0
2020-08-25,-116.0,1,-116.0,1,2051.21,20512.100000000002,False,-1160.0
2020-08-26,-412.0,1,-412.0,1,1639.21,16392.1,False,-4120.0
2020-10-06,-197.0,1,-197.0,1,1442.21,14422.1,False,-1970.0
