symbol,direction,entry_price,exit_price,entry_time,exit_time,lot_size,pnl,duration,status
USDJPY,SELL,106.12799835205078,105.86100006103516,2019-09-02 00:00:00+01:00,2019-09-04 00:00:00+01:00,0.01,266.998291015625,2 days,CLOSED
USDJPY,BUY,108.6989974975586,108.44499969482422,2019-11-18 00:00:00+00:00,2019-11-20 00:00:00+00:00,0.01,-253.997802734375,2 days,CLOSED
USDJPY,BUY,108.7300033569336,108.99199676513672,2019-11-25 00:00:00+00:00,2019-11-26 00:00:00+00:00,0.01,261.993408203125,1 days,CLOSED
USDJPY,BUY,109.03099822998047,109.50700378417969,2020-01-09 00:00:00+00:00,2020-01-10 00:00:00+00:00,0.01,476.00555419921875,1 days,CLOSED
USDJPY,SELL,108.03500366210938,107.50800323486328,2020-03-31 00:00:00+01:00,2020-04-01 00:00:00+01:00,0.01,527.0004272460938,1 days,CLOSED
USDJPY,SELL,108.0009994506836,108.69300079345703,2020-04-03 00:00:00+01:00,2020-04-06 00:00:00+01:00,0.01,-692.0013427734375,3 days,CLOSED
USDJPY,SELL,107.35900115966797,107.5780029296875,2020-07-07 00:00:00+01:00,2020-07-08 00:00:00+01:00,0.01,-219.00177001953125,1 days,CLOSED
USDJPY,SELL,107.28299713134766,106.91000366210938,2020-07-09 00:00:00+01:00,2020-07-13 00:00:00+01:00,0.01,372.99346923828125,4 days,CLOSED
USDJPY,SELL,107.2760009765625,106.91699981689453,2020-07-14 00:00:00+01:00,2020-07-16 00:00:00+01:00,0.01,359.00115966796875,2 days,CLOSED
USDJPY,SELL,107.27799987792969,107.08999633789062,2020-07-17 00:00:00+01:00,2020-07-20 00:00:00+01:00,0.01,188.0035400390625,3 days,CLOSED
USDJPY,SELL,106.0790023803711,105.66500091552734,2020-08-20 00:00:00+01:00,2020-08-21 00:00:00+01:00,0.01,414.00146484375,1 days,CLOSED
USDJPY,SELL,105.87699890136719,105.99299621582031,2020-08-24 00:00:00+01:00,2020-08-25 00:00:00+01:00,0.01,-115.997314453125,1 days,CLOSED
USDJPY,SELL,105.99299621582031,106.40499877929688,2020-08-25 00:00:00+01:00,2020-08-26 00:00:00+01:00,0.01,-412.0025634765625,1 days,CLOSED
USDJPY,SELL,105.51000213623047,105.70700073242188,2020-10-05 00:00:00+01:00,2020-10-06 00:00:00+01:00,0.01,-196.99859619140622,1 days,CLOSED
GBPUSD,SELL,1.2724426984786987,1.2693415880203247,2019-06-12 00:00:00+01:00,2019-06-13 00:00:00+01:00,0.01,3.1011104583740234,1 days,CLOSED
GBPUSD,SELL,1.2690677642822266,1.267748475074768,2019-06-26 00:00:00+01:00,2019-06-28 00:00:00+01:00,0.01,1.319289207458496,2 days,CLOSED
GBPUSD,SELL,1.267748475074768,1.2694543600082397,2019-06-28 00:00:00+01:00,2019-07-01 00:00:00+01:00,0.01,-1.7058849334716797,3 days,CLOSED
GBPUSD,SELL,1.2694543600082397,1.2644623517990112,2019-07-01 00:00:00+01:00,2019-07-02 00:00:00+01:00,0.01,4.992008209228516,1 days,CLOSED
GBPUSD,SELL,1.218650221824646,1.21592378616333,2019-08-30 00:00:00+01:00,2019-09-02 00:00:00+01:00,0.01,2.726435661315918,3 days,CLOSED
GBPUSD,SELL,1.21592378616333,1.2066656351089478,2019-09-02 00:00:00+01:00,2019-09-03 00:00:00+01:00,0.01,9.258151054382324,1 days,CLOSED
GBPUSD,SELL,1.2359564304351807,1.2331976890563965,2019-09-26 00:00:00+01:00,2019-09-27 00:00:00+01:00,0.01,2.7587413787841797,1 days,CLOSED
GBPUSD,BUY,1.2796396017074585,1.2858428955078125,2019-11-11 00:00:00+00:00,2019-11-12 00:00:00+00:00,0.01,6.203293800354004,1 days,CLOSED
GBPUSD,BUY,1.2858428955078125,1.2881784439086914,2019-11-12 00:00:00+00:00,2019-11-15 00:00:00+00:00,0.01,2.3355484008789062,3 days,CLOSED
GBPUSD,BUY,1.3091918230056763,1.3113033771514893,2019-12-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,0.01,2.1115541458129883,1 days,CLOSED
GBPUSD,BUY,1.3113033771514893,1.326259970664978,2019-12-31 00:00:00+00:00,2020-01-01 00:00:00+00:00,0.01,14.956593513488771,1 days,CLOSED
GBPUSD,BUY,1.31137216091156,1.3105130195617676,2020-01-08 00:00:00+00:00,2020-01-09 00:00:00+00:00,0.01,-0.8591413497924806,1 days,CLOSED
GBPUSD,BUY,1.3105130195617676,1.3070186376571655,2020-01-09 00:00:00+00:00,2020-01-10 00:00:00+00:00,0.01,-3.494381904602051,1 days,CLOSED
GBPUSD,SELL,1.2240501642227173,1.2338672876358032,2020-04-07 00:00:00+01:00,2020-04-08 00:00:00+01:00,0.01,-9.817123413085938,1 days,CLOSED
AUDUSD,SELL,0.6961848735809326,0.6972576975822449,2019-07-11 00:00:00+01:00,2019-07-12 00:00:00+01:00,0.01,-1.0728240013122559,1 days,CLOSED
